2025-10-14T03:26:18.623805200 | TRANSFER | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 10 | RESULT: OK | ID: bf97bb0b-c9cc-4a56-8b2c-020bebfb5dad
2025-10-14T03:29:16.299300900 | TRANSFER | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 10 | RESULT: OK | ID: 6b8ee518-c0e5-4038-ae6f-197da3ca7bb3
2025-10-14T03:31:07.245510200 | CONFIRM | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 0 | RESULT: CONFIRMED | ID: 6b8ee518-c0e5-4038-ae6f-197da3ca7bb3
2025-10-18T00:12:33.546862900 | TRANSFER | FROM: 1234123412341234 | TO: 7890789078907890 | AMOUNT: 1200000 | FEE: 10 | RESULT: OK | ID: e482588e-f314-419f-87c2-0b01fdcdd7bc
2025-10-18T00:12:33.649279500 | CONFIRM | FROM: 1234123412341234 | TO: 7890789078907890 | AMOUNT: 1200000 | FEE: 0 | RESULT: CONFIRMED | ID: e482588e-f314-419f-87c2-0b01fdcdd7bc
2025-10-18T21:03:10.735980800 | TRANSFER | FROM: 1234567812345678 | TO: 8765432187654321 | AMOUNT: 1000 | FEE: 10 | RESULT: OK | ID: b6b3e17d-ce0b-4535-82d0-bfe1e9c717ef
2025-10-19T01:56:00.745596400 | TRANSFER | FROM: 1234567812345678 | TO: 8765432187654321 | AMOUNT: 1000 | FEE: 10 | RESULT: OK | ID: 4ec5092e-9d8a-4ef2-aa55-8cf7f7b53b97
2025-10-19T01:56:00.772592600 | CONFIRM | FROM: 1234567812345678 | TO: 8765432187654321 | AMOUNT: 1000 | FEE: 0 | RESULT: CONFIRMED | ID: 4ec5092e-9d8a-4ef2-aa55-8cf7f7b53b97
2025-10-19T01:56:00.809208600 | TRANSFER | FROM: 1234567812345678 | TO: 8765432187654321 | AMOUNT: 1000 | FEE: 10 | RESULT: OK | ID: 8fba7a21-9491-473d-83cc-d2a3d114ac63
2025-10-19T02:03:36.046131200 | TRANSFER | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 10 | RESULT: OK | ID: f1386e25-dc71-4ef3-b09b-ef8a1a5ee9ce
2025-10-19T02:03:36.161056800 | TRANSFER | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 10 | RESULT: OK | ID: 16e98704-b78a-407a-bf81-f712103f30d6
2025-10-19T02:03:36.176483900 | CONFIRM | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 0 | RESULT: CONFIRMED | ID: 16e98704-b78a-407a-bf81-f712103f30d6
2025-10-20T00:53:35.387854100 | TRANSFER | FROM: 1234567812345678 | TO: 8765432187654321 | AMOUNT: 1000 | FEE: 10 | RESULT: OK | ID: ed09f4c2-dbeb-4ad0-bd06-45c655d81d53
2025-10-20T06:52:39.062330700 | TRANSFER | FROM: 1234567812345678 | TO: 8765432187654321 | AMOUNT: 1000 | FEE: 10 | RESULT: OK | ID: ee2b3af5-0de3-45f4-9128-e2fe24a8d3df
2025-10-20T06:53:27.689393200 | TRANSFER | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 10 | RESULT: OK | ID: 759dc789-0616-4b1c-8863-07a356e0df7e
2025-10-20T06:53:27.819500800 | TRANSFER | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 10 | RESULT: OK | ID: 8cbc49c6-ce7d-4d23-a30f-e4ec4f8a22ba
2025-10-20T06:53:27.832937800 | CONFIRM | FROM: 1111222233334444 | TO: 5555666677778888 | AMOUNT: 500 | FEE: 0 | RESULT: CONFIRMED | ID: 8cbc49c6-ce7d-4d23-a30f-e4ec4f8a22ba
